original_sentence,processed_tokens
Bilir Güçlü Şti.,bilir güçlü şti
- Nalbur (2019-2025),nalbur
Aslan A.Ş.,asla
- Veri hazırlama ve kontrol işletmeni (2019-2025),ver hazırla kontrol işletme
Ertaş Ltd. - Hattat (2023-2023),ertaş ltd hattat
Mansız A.Ş.,mansız
- Yayıncı (2022-2025),yayıncı
Şişecam - Elektrikçi (2021-2025),şişeca elektrikçi
Ergül A.Ş.,ergül
- Hamurkâr (2023-2023),hamurkr
Toyota Otomotiv - Uçuş teknisyeni (2018-2025),toyo otomotiv uçuş teknisye
Şişecam - Editör (2020-2023),şişeca editör
Aslan Ergül A.Ş.,asla ergül
- Mobilyacı (2021-2023),mobilyaç
Soylu Güçlü A.Ş.,soylu güçlü
- Stenograf (2022-2024),stenograf
Turkcell - Başrahip (2020-2024),turkcell başrahip
Manço Duran Ltd. - Hukukçu (2022-2024),manço dura ltd hukukçu
Akça Hayrioğlu A.Ş.,akça hayrioğlu
- Krupiye (2021-2023),krupi
Akçay Şti.,akçay şti
- Tuzcu (2018-2023),tuzcu
Anadolu Efes - Simitçi (2020-2023),anadol efes simitçi
Dumanlı Ltd. - Aktris (2020-2025),dumanlı ltd aktris
Anadolu Efes - Müzisyen (2018-2023),anadol efes müzisye
Türk Alemdar A.Ş.,türk alemdar
- Çırak (2020-2023),çırak
Türk Hava Yolları - Topçu (2021-2025),türk hav yol topçu
Zorlu Şener A.Ş.,zorlu şener
- Saz şairi (2021-2024),saz şair
Demirel Şti.,demirel şti
- Mimar (2019-2023),mimar
Mansız Şensoy A.Ş.,mansız şensoy
- Damıtıcı (2023-2025),damıtıç
Hayrioğlu Hançer Ltd. - Terzi (2023-2025),hayrioğlu hançer ltd terzi
Fırat Durmuş Şti.,fırat dur şti
- Arıcı (2022-2023),arıç
Korutürk Fırat Ltd. - Uzman Çavuş (2021-2024),korutürk fırat ltd uzma çavuş
Zorlu Ertaş Şti.,zorlu ertaş şti
- Turşucu (2022-2023),turşuç
Akgündüz A.Ş.,akgündüz
- Oymacı (2019-2024),oymaç
Anadolu Efes - Acentacı (2019-2024),anadol efes acentaç
Şensoy A.Ş.,şensoy
- Ahşap tekne yapımcısı (2019-2023),ahşap tekne yapımcıs
A101 Yeni Mağzacılık - Şimşirci (2019-2023),ye mağzacılık şimşirci
Yüksel Alemdar Şti.,yüksel alemdar şti
- Sosyolog (2021-2024),sosyologu
Arslan Şama Şti.,arsla şa şti
- Sistem yöneticisi (2022-2023),siste yöneticis
Akça Şafak A.Ş.,akça şafak
- Kuşbilimci (2021-2024),kuşbilimci
Bilgin Şti.,bilgi şti
- Anahtarcı (2023-2025),anahtarcı
Sezer Ltd. - Yer teknisyeni (2022-2024),sezer ltd yer teknisye
ŞOK Marketler - Binicilik (2022-2023),şok market binicilik
Hançer A.Ş.,hançer
- Okul müdürü (2023-2024),okul müdür
Hançer Türk Ltd. - Ayakkabı tamircisi (2023-2025),hançer türk ltd ayakkap tamircis
Türk Hava Yolları - İstatistikçi (2019-2024),türk hav yol istatistikçi
Petkim - Kapıcı (2019-2024),petk kapıç
Opet - Uzman Çavuş (2018-2023),opet uzma çavuş
Çamurcuoğlu Şti.,çamurcuoğlu şti
- Halıcı (2022-2023),halıç
Opet - Polis memuru (2019-2023),opet polis memur
Sakarya Dumanlı A.Ş.,sakarya dumanlı
- Oduncu (2020-2025),oduncu
Şener Bilgin Ltd. - Şapkacı (2019-2024),şener bilgi ltd şapkaç
Akar Gülen Ltd. - Sunucu (2019-2025),akar güle ltd sunuç
Peak Games - Böcekbilimci (2022-2023),peak games böcekbilimci
Durdu Eraslan Şti.,dur erasla şti
- Opera sanatçısı (2021-2024),oper sanatçıs
Roketsan - Tabelacı (2022-2024),roket tabelaç
Tüpraş - Galerici (2023-2024),tüpraş galeriç
Şişecam - Enstrüman imalatçısı (2020-2024),şişeca enstrüma imalatçıs
BİM - Debbağ (2023-2024),bim debbak
Şişecam - Papaz (2019-2023),şişeca papaz
Zorlu Öcalan Şti.,zorlu öcala şti
- Polis memuru (2021-2024),polis memur
Öcalan Dumanlı A.Ş.,öcala dumanlı
- Kitapçı (2018-2024),kitapçı
Durdu A.Ş.,dur
- Hostes (2023-2024),hostes
Demirel Erdoğan Ltd. - Pansiyoncu (2022-2024),demirel erdoğa ltd pansiyoncu
Limak İnşaat - İşportacı (2019-2023),limak inşaat işportaç
Vestel - Masör (2020-2023),vestel masör
Yüksel A.Ş.,yüksel
- Garson (2018-2025),garso
Güçlü Akçay Ltd. - Balıkçı (2020-2025),güçlü akçay ltd balıkçı
Şişecam - Lostracı (2022-2024),şişeca lostraç
Güçlü Çetin Ltd. - Fermantasyon işçisi (2020-2024),güçlü çet ltd fermantasyo işçis
Türk Hava Yolları - Ornitolog (2019-2023),türk hav yol ornitologu
Gül Arsoy Şti.,gül arsoy şti
- Kumcu (2019-2024),kumcu
Soylu Şensoy Ltd. - Hareket memuru (2022-2023),soylu şensoy ltd hareket memur
Sakarya A.Ş.,sakarya
- Jeoloji mühendisi (2021-2023),jeoloj mühendis
Turkcell - Tavukçu (2021-2025),turkcell tavukçu
Akdeniz A.Ş.,akde
- Kütüphaneci (2020-2024),kütüphaneç
Arsoy Şafak Ltd. - Marangoz (2021-2024),arsoy şafak ltd marangoz
Masomo - Kameraman (2023-2024),masomo kamerama
Sezgin Ltd. - Emniyet amiri (2023-2023),sezgi ltd emniyet amir
Arçelik - Tatlıcı (2023-2023),arçelik tatlıç
EnerjiSA - Yol bekçisi (2020-2025),enerjisa yol bekçis
Sezer Yorulmaz A.Ş.,sezer yorulmaz
- Kuaför (2019-2023),kuaför
Durdu Zorlu Ltd. - Hayvan bakıcısı (2023-2024),dur zorlu ltd hayva bakıcıs
Arslan Şensoy Şti.,arsla şensoy şti
- Kemancı (2020-2025),kemancı
Arsoy Fırat Şti.,arsoy fırat şti
- Tellal (2022-2025),tellal
Sezgin A.Ş.,sezgi
- Sınırlı baş makinist (2023-2024),sınırlı baş makinist
Mansız Ltd. - Sokak çalgıcısı (2018-2025),mansız ltd sokak çalgıcıs
Masomo - Ön muhasebe sorumlusu (2019-2023),masomo muhasep sorumlus
Selçuk Ecza - Sanayici (2022-2023),selçuk ecza sanayiç
Yüksel Zorlu A.Ş.,yüksel zorlu
- Çıkıkçı (2020-2023),çıkıkçı
Akgündüz Eraslan A.Ş.,akgündüz erasla
- Çırak (2020-2025),çırak
Limak İnşaat - Suflör (2023-2023),limak inşaat suflör
Kısakürek Durmuş Ltd. - Aşçıbaşı (2018-2024),kısakürek dur ltd aşçıbaş
LC Waikiki - Yorgancı (2023-2024),waikik yorgancı
LC Waikiki - Oyun yazarı (2018-2025),waikik oy yazar
Çetin Yüksel Ltd. - Kumcu (2019-2023),çet yüksel ltd kumcu
Yüksel Şti.,yüksel şti
- Fahişe (2022-2023),fahiş
Duran Şensoy Ltd. - Geyşa (2018-2025),dura şensoy ltd geyşa
Ford Otosan - Turizmci (2020-2024),ford otosa turizmci
Masomo - Test mühendisi (2020-2024),masomo test mühendis
Güçlü Zengin Şti.,güçlü zengi şti
- Perukçu (2022-2024),perukçu
Akdeniz Şti.,akde şti
- Milletvekili (2020-2023),milletvekil
Tarhan A.Ş.,tarha
- Dokumacı (2018-2023),dokumaç
Türk Telekom - Reklamcı (2020-2025),türk teleko reklamcı
Yüksel A.Ş.,yüksel
- Oto tamircisi (2023-2025),oto tamircis
Petkim - Kesimci (2018-2025),petk kesimci
Aslan Çorlu Ltd. - Kameraman (2023-2023),asla çorlu ltd kamerama
Anadolu Efes - Aile hekimi (2018-2025),anadol efes ai hek
Yıldırım Şensoy Şti.,yıldır şensoy şti
- Suflör (2023-2024),suflör
Selçuk Ecza - İthalatçı (2022-2025),selçuk ecza ithalatçı
Peak Games - Orgcu (2022-2023),peak games orgcu
Türk Hava Yolları - Elektrikçi (2021-2024),türk hav yol elektrikçi
Türk Hava Yolları - Eleştirmen (2020-2023),türk hav yol eleştirme
Çamurcuoğlu A.Ş.,çamurcuoğlu
- Figüran (2019-2023),figüra
Tofaş - Dedektif (2022-2025),tofaş dedektif
Korutürk Ergül Şti.,korutürk ergül şti
- Tatlıcı (2018-2024),tatlıç
Arçelik - Tasarımcı (2023-2023),arçelik tasarımcı
Havelsan - Diyetisyen (2018-2024),havel diyetisye
Roketsan - Makinist (2023-2025),roket makinist
Çamurcuoğlu Çamurcuoğlu Ltd. - Taşlayıcı (2022-2024),çamurcuoğlu çamurcuoğlu ltd taşlayıç
Bilir Ltd. - Hattat (2020-2024),bilir ltd hattat
Oyak Renault - Asker (2020-2024),oyak renault asker
Kısakürek Şti.,kısakürek şti
- Sokak satıcısı (2023-2025),sokak satıcıs
Akçay Güçlü A.Ş.,akçay güçlü
- Jeolog (2021-2024),jeologu
Karadeniz İhsanoğlu A.Ş.,karade ihsanoğlu
- Tesgahtar (2019-2025),tesgahtar
Mansız Şafak A.Ş.,mansız şafak
- Etnolog (2021-2024),etnologu
Toyota Otomotiv - Hava trafikçisi (2018-2025),toyo otomotiv hav trafikçis
İhsanoğlu Çorlu A.Ş.,ihsanoğlu çorlu
- İnsan kaynakları uzmanı (2023-2023),in kaynak uzma
Akdeniz Akgündüz A.Ş.,akde akgündüz
- Astsubay (2019-2025),astsubay
Opet - Keskin Nişancı (2023-2025),opet kesk nişancı
Yüksel Tevetoğlu A.Ş.,yüksel tevetoğlu
- Odacı (2023-2023),odaç
Sezgin Ltd. - Nalbant (2020-2024),sezgi ltd nalbant
Yüksel Karadeniz A.Ş.,yüksel karade
- Striptizci (2020-2025),striptizci
Bilgin Akar Ltd. - Manifaturacı (2022-2024),bilgi akar ltd manifaturaç
Manço Demirel Şti.,manço demirel şti
- Subay (2022-2023),subay
Peak Games - İplikçi (2018-2024),peak games iplikçi
Masomo - Manav (2023-2025),masomo manav
Bilir A.Ş.,bilir
- Albay (2022-2023),albay
Demir Fırat Ltd. - Bakan (2019-2025),demir fırat ltd baka
Çamurcuoğlu Şti.,çamurcuoğlu şti
- Yardımcı hizmetli (2019-2023),yardımcı hizmetli
Demir Akgündüz A.Ş.,demir akgündüz
- İktisatçı (2018-2023),iktisatçı
Öcalan Duran Ltd. - Makinist (2022-2025),öcala dura ltd makinist
Çetin Yorulmaz A.Ş.,çet yorulmaz
- Makasçı (2018-2023),makasçı
LC Waikiki - Kat görevlisi (2018-2023),waikik kat görevlis
Yüksel Ltd. - Figüran (2022-2025),yüksel ltd figüra
Arçelik - Tatlıcı (2021-2023),arçelik tatlıç
Mansız Hançer Ltd. - Tuğgeneral (2020-2024),mansız hançer ltd tuğgeneral
Demir Aslan A.Ş.,demir asla
- Denetleyici (2023-2023),denetleyiç
Şener Sakarya Ltd. - Astronom (2023-2025),şener sakarya ltd astrono
Durdu Ltd. - Çorapçı (2018-2023),dur ltd çorapçı
Peak Games - Kitapçı (2018-2024),peak games kitapçı
Akçay Ltd. - Ayakkabı tamircisi (2019-2023),akçay ltd ayakkap tamircis
Limak İnşaat - Saatçi (2020-2025),limak inşaat saatçi
Dumanlı A.Ş.,dumanlı
- Vergi denetmeni (2022-2024),vergi denetme
Türk Hava Yolları - Sicil memuru (2019-2024),türk hav yol sicil memur
Kısakürek Türk A.Ş.,kısakürek türk
- Milletvekili (2018-2023),milletvekil
Sezer Bilge Ltd. - Sanat yönetmeni (2023-2024),sezer bilge ltd sanat yönetme
Akdeniz Ltd. - Koreograf (2022-2024),akde ltd koreograf
Sakarya Arslan A.Ş.,sakarya arsla
- Etimolog (2022-2024),etimologu
Gül Hayrioğlu Şti.,gül hayrioğlu şti
- Ağ yöneticisi (2019-2023),yöneticis
Bilge Ltd. - Çatıcı (2020-2023),bilge ltd çatıç
Peak Games - Greyder operatörü (2020-2025),peak games greyder operatör
Güçlü Şti.,güçlü şti
- Kapı satıcısı (2023-2023),kap satıcıs
Zorlu Ltd. - Balıkçı (2021-2025),zorlu ltd balıkçı
BİM - Terzi (2021-2023),bim terzi
Opet - Gazete satıcısı (2018-2023),opet gaze satıcıs
Seven Türk Ltd. - Asker (2020-2024),seve türk ltd asker
Petrol Ofisi - Berber (2018-2024),petrol ofis berber
Sakarya Şti.,sakarya şti
- Sürveyan (2023-2024),sürveya
ŞOK Marketler - Devlet memuru (2018-2025),şok market devlet memur
Çorlu Şti.,çorlu şti
"- Ayakçı (otogar, lokanta) (2021-2024)",ayakçı otogar loka
Manço Yılmaz Ltd. - Damıtıcı (2022-2025),manço yılmaz ltd damıtıç
Akdeniz A.Ş.,akde
- Tarım işçisi (2023-2024),tar işçis
Tarhan A.Ş.,tarha
- Piyanist (2023-2025),piyanist
Zorlu Ltd. - Çöpçü (2018-2025),zorlu ltd çöpçü
Türk Telekom - Fon yöneticisi (2021-2025),türk teleko fon yöneticis
Yorulmaz Şti.,yorulmaz şti
- Turizmci (2023-2023),turizmci
Tüpraş - Tuhafiyeci (2020-2023),tüpraş tuhafiyeç
Durmuş Şti.,dur şti
- Koruma görevlisi (2022-2023),kor görevlis
Tüpraş - Hırdavatçı (2023-2023),tüpraş hırdavatçı
Erdoğan Ltd. - Araba satıcısı (2021-2023),erdoğa ltd arap satıcıs
Korutürk Hançer A.Ş.,korutürk hançer
- Gardiyan (2018-2025),gardiya
Alemdar Şti.,alemdar şti
- Kimya mühendisi (2019-2023),kimya mühendis
